id*person_id*cluster_id*created_at*updated_at
1*1*3*2019-09-25 13:01:37.41573*2019-09-25 13:01:37.41573
5*4*3*2019-09-25 13:01:37.454801*2019-09-25 13:01:37.454801
12*11*2*2019-09-25 13:01:37.525422*2019-09-25 13:01:37.525422
20*62*4*2019-09-25 13:53:04.555811*2019-09-25 13:53:04.555811
23*65*3*2019-09-25 14:14:43.546937*2019-09-25 14:14:43.546937
27*56*1*2019-09-25 14:51:20.131061*2019-09-25 14:51:20.131061
28*57*1*2019-09-25 14:51:34.48921*2019-09-25 14:51:34.48921
29*58*1*2019-09-25 14:51:41.729375*2019-09-25 14:51:41.729375
30*59*1*2019-09-25 14:51:48.506413*2019-09-25 14:51:48.506413
33*63*1*2019-09-25 14:52:43.914109*2019-09-25 14:52:43.914109
34*66*1*2019-09-25 14:52:51.159492*2019-09-25 14:52:51.159492
36*67*1*2019-09-25 14:53:06.195256*2019-09-25 14:53:06.195256
37*68*1*2019-09-25 14:53:14.727109*2019-09-25 14:53:14.727109
38*69*1*2019-11-15 14:40:45.620682*2019-11-15 14:40:45.620682
39*70*1*2019-11-15 14:41:03.38019*2019-11-15 14:41:03.38019
40*71*1*2019-11-15 14:41:15.612558*2019-11-15 14:41:15.612558
41*72*1*2019-11-15 16:39:43.798851*2019-11-15 16:39:43.798851
42*73*1*2019-11-15 16:39:56.62154*2019-11-15 16:39:56.62154
43*74*1*2019-11-18 13:34:09.856152*2019-11-18 13:34:09.856152
44*75*1*2019-11-18 13:36:01.028606*2019-11-18 13:36:01.028606
45*76*1*2019-11-18 13:36:17.056045*2019-11-18 13:36:17.056045
46*77*1*2019-11-18 13:36:29.986782*2019-11-18 13:36:29.986782
47*78*1*2019-11-18 13:36:42.842283*2019-11-18 13:36:42.842283
48*79*1*2019-11-18 13:36:59.829667*2019-11-18 13:36:59.829667
49*80*1*2019-11-18 14:32:07.042049*2019-11-18 14:32:07.042049
50*81*1*2019-11-18 15:02:54.795615*2019-11-18 15:02:54.795615
51*82*1*2019-11-18 15:03:07.834123*2019-11-18 15:03:07.834123
53*84*1*2019-11-18 15:03:32.853827*2019-11-18 15:03:32.853827
54*85*1*2019-11-18 16:04:03.434326*2019-11-18 16:04:03.434326
55*86*1*2019-11-19 14:00:22.512523*2019-11-19 14:00:22.512523
56*87*1*2019-11-19 14:00:36.897824*2019-11-19 14:00:36.897824
57*88*1*2019-11-19 14:23:49.647435*2019-11-19 14:23:49.647435
58*89*1*2019-11-19 14:24:52.499536*2019-11-19 14:24:52.499536
60*91*1*2019-11-19 14:47:18.302486*2019-11-19 14:47:18.302486
61*92*1*2019-11-19 14:52:46.340287*2019-11-19 14:52:46.340287
62*93*1*2019-11-19 14:53:00.643057*2019-11-19 14:53:00.643057
63*94*1*2019-11-19 15:05:07.690506*2019-11-19 15:05:07.690506
64*95*1*2019-11-19 15:20:39.375347*2019-11-19 15:20:39.375347
68*99*1*2019-11-22 04:20:36.148004*2019-11-22 04:20:36.148004
69*100*1*2019-11-22 04:20:58.762616*2019-11-22 04:20:58.762616
72*103*1*2019-11-22 04:58:09.733345*2019-11-22 04:58:09.733345
76*107*1*2019-11-22 05:03:43.084203*2019-11-22 05:03:43.084203
80*111*1*2019-11-22 05:14:29.363673*2019-11-22 05:14:29.363673
81*112*1*2019-11-22 05:16:59.819653*2019-11-22 05:16:59.819653
82*113*1*2019-11-22 05:17:10.627937*2019-11-22 05:17:10.627937
85*116*1*2019-11-22 05:23:33.854256*2019-11-22 05:23:33.854256
86*117*1*2019-11-22 05:23:57.4866*2019-11-22 05:23:57.4866
87*118*1*2019-11-22 05:24:24.031597*2019-11-22 05:24:24.031597
88*119*1*2019-11-22 05:24:41.318801*2019-11-22 05:24:41.318801
89*120*1*2019-11-22 05:26:01.939107*2019-11-22 05:26:01.939107
90*121*1*2019-11-22 05:26:37.347608*2019-11-22 05:26:37.347608
91*122*1*2019-11-22 05:26:56.207881*2019-11-22 05:26:56.207881
92*123*1*2019-11-22 05:27:07.237114*2019-11-22 05:27:07.237114
93*124*1*2019-11-22 05:27:23.980525*2019-11-22 05:27:23.980525
94*125*1*2019-11-22 19:22:39.435486*2019-11-22 19:22:39.435486
96*127*1*2019-11-27 03:49:31.553693*2019-11-27 03:49:31.553693
97*128*1*2019-11-27 04:33:33.523491*2019-11-27 04:33:33.523491
102*133*1*2019-12-02 18:41:22.228488*2019-12-02 18:41:22.228488
103*134*1*2019-12-02 18:41:33.133331*2019-12-02 18:41:33.133331
106*137*1*2019-12-02 23:36:19.845448*2019-12-02 23:36:19.845448
107*138*1*2019-12-02 23:36:35.814868*2019-12-02 23:36:35.814868
108*139*1*2019-12-03 00:40:13.809072*2019-12-03 00:40:13.809072
109*140*1*2019-12-05 04:10:32.519488*2019-12-05 04:10:32.519488
110*10*2*2019-12-05 04:11:12.098823*2019-12-05 04:11:12.098823
111*141*1*2019-12-05 04:23:45.131287*2019-12-05 04:23:45.131287
112*142*1*2019-12-05 04:24:06.772653*2019-12-05 04:24:06.772653
113*130*2*2019-12-05 13:21:37.325847*2019-12-05 13:21:37.325847
114*143*1*2019-12-16 13:42:59.907444*2019-12-16 13:42:59.907444
115*144*1*2019-12-16 14:07:36.355005*2019-12-16 14:07:36.355005
116*145*1*2019-12-16 14:07:53.875788*2019-12-16 14:07:53.875788
117*146*1*2019-12-16 14:08:05.392538*2019-12-16 14:08:05.392538
118*147*1*2019-12-16 14:08:20.986924*2019-12-16 14:08:20.986924
119*148*1*2019-12-16 14:08:36.581554*2019-12-16 14:08:36.581554
120*149*1*2019-12-16 14:08:50.553527*2019-12-16 14:08:50.553527
121*150*1*2019-12-30 18:59:21.810812*2019-12-30 18:59:21.810812
122*151*1*2020-01-10 13:19:46.326652*2020-01-10 13:19:46.326652
123*152*1*2020-01-15 14:55:26.715819*2020-01-15 14:55:26.715819
124*153*5*2020-01-24 13:14:09.561431*2020-01-24 13:14:09.561431
125*154*1*2020-02-27 15:16:26.255662*2020-02-27 15:16:26.255662
126*98*1*2020-02-27 20:57:16.638798*2020-02-27 20:57:16.638798
127*90*1*2020-02-27 20:57:28.538909*2020-02-27 20:57:28.538909
128*12*2*2020-02-27 20:58:29.053269*2020-02-27 20:58:29.053269
129*6*2*2020-02-27 20:58:37.321115*2020-02-27 20:58:37.321115
130*5*2*2020-02-27 20:58:46.370995*2020-02-27 20:58:46.370995
131*3*2*2020-02-27 20:58:56.726848*2020-02-27 20:58:56.726848
132*3*3*2020-02-27 20:58:56.736158*2020-02-27 20:58:56.736158
133*2*2*2020-02-27 20:59:05.427679*2020-02-27 20:59:05.427679
134*7*2*2020-02-28 15:45:00.25397*2020-02-28 15:45:00.25397
135*8*2*2020-02-28 15:53:58.451106*2020-02-28 15:53:58.451106
136*9*2*2020-02-28 15:54:11.731427*2020-02-28 15:54:11.731427
137*60*1*2020-02-28 16:17:25.750432*2020-02-28 16:17:25.750432
138*61*1*2020-02-28 16:17:38.692394*2020-02-28 16:17:38.692394
139*64*1*2020-02-28 16:17:49.681656*2020-02-28 16:17:49.681656
140*97*1*2020-02-28 16:18:01.795857*2020-02-28 16:18:01.795857
141*101*1*2020-02-28 16:18:12.586377*2020-02-28 16:18:12.586377
142*102*1*2020-02-28 16:18:22.909101*2020-02-28 16:18:22.909101
143*104*1*2020-02-28 16:18:33.043448*2020-02-28 16:18:33.043448
144*105*1*2020-02-28 16:18:42.348709*2020-02-28 16:18:42.348709
145*106*1*2020-02-28 16:18:50.505699*2020-02-28 16:18:50.505699
146*108*1*2020-02-28 16:18:59.475099*2020-02-28 16:18:59.475099
147*109*1*2020-02-28 16:19:08.324172*2020-02-28 16:19:08.324172
148*110*1*2020-02-28 16:19:17.73677*2020-02-28 16:19:17.73677
149*114*1*2020-02-28 16:19:25.692651*2020-02-28 16:19:25.692651
150*115*1*2020-02-28 16:19:35.172341*2020-02-28 16:19:35.172341
151*126*1*2020-02-28 16:19:45.099355*2020-02-28 16:19:45.099355
152*131*1*2020-02-28 16:19:56.285131*2020-02-28 16:19:56.285131
153*136*1*2020-02-28 16:20:05.728175*2020-02-28 16:20:05.728175
155*156*1*2020-02-28 16:23:07.035428*2020-02-28 16:23:07.035428
156*157*1*2020-02-28 16:23:31.937649*2020-02-28 16:23:31.937649
157*158*1*2020-02-28 16:26:41.582522*2020-02-28 16:26:41.582522
162*161*1*2020-02-28 17:14:24.808466*2020-02-28 17:14:24.808466
164*162*1*2020-02-28 17:14:50.053844*2020-02-28 17:14:50.053844
166*163*1*2020-02-28 17:19:33.509292*2020-02-28 17:19:33.509292
167*160*1*2020-02-28 17:21:47.723513*2020-02-28 17:21:47.723513
168*164*1*2020-02-28 17:26:10.732552*2020-02-28 17:26:10.732552
169*165*1*2020-02-28 17:29:19.785779*2020-02-28 17:29:19.785779
170*166*1*2020-02-28 17:29:55.835518*2020-02-28 17:29:55.835518
171*167*1*2020-02-28 17:34:19.550226*2020-02-28 17:34:19.550226
172*168*1*2020-02-28 17:34:42.089654*2020-02-28 17:34:42.089654
173*169*1*2020-02-28 17:36:11.843999*2020-02-28 17:36:11.843999
174*170*1*2020-02-28 17:36:21.62542*2020-02-28 17:36:21.62542
176*171*1*2020-02-28 18:05:18.4231*2020-02-28 18:05:18.4231
177*172*1*2020-02-28 18:18:28.767798*2020-02-28 18:18:28.767798
178*173*1*2020-02-28 18:18:45.675416*2020-02-28 18:18:45.675416
179*174*1*2020-02-28 18:18:59.992329*2020-02-28 18:18:59.992329
180*175*1*2020-02-28 18:19:22.608871*2020-02-28 18:19:22.608871
181*176*1*2020-02-28 18:24:55.715317*2020-02-28 18:24:55.715317
182*177*1*2020-02-28 18:25:12.237345*2020-02-28 18:25:12.237345
183*178*1*2020-02-28 18:25:31.101765*2020-02-28 18:25:31.101765
184*179*1*2020-02-28 18:25:49.19777*2020-02-28 18:25:49.19777
185*180*1*2020-02-28 18:29:32.742221*2020-02-28 18:29:32.742221
186*181*1*2020-02-28 18:29:48.779342*2020-02-28 18:29:48.779342
187*182*1*2020-02-28 18:30:04.393019*2020-02-28 18:30:04.393019
188*183*1*2020-02-28 18:32:34.884477*2020-02-28 18:32:34.884477
189*184*1*2020-02-28 18:32:51.309836*2020-02-28 18:32:51.309836
190*185*1*2020-02-28 18:38:26.499855*2020-02-28 18:38:26.499855
191*186*1*2020-02-28 18:38:46.064741*2020-02-28 18:38:46.064741
192*187*1*2020-02-28 18:47:20.952858*2020-02-28 18:47:20.952858
193*188*1*2020-02-28 18:47:41.336618*2020-02-28 18:47:41.336618
194*189*1*2020-02-28 18:47:51.293671*2020-02-28 18:47:51.293671
195*190*1*2020-02-28 18:50:15.312727*2020-02-28 18:50:15.312727
196*191*1*2020-02-28 18:50:31.370589*2020-02-28 18:50:31.370589
197*192*1*2020-02-28 18:53:14.588209*2020-02-28 18:53:14.588209
198*193*1*2020-02-28 18:53:39.995812*2020-02-28 18:53:39.995812
199*194*1*2020-02-28 18:54:04.717907*2020-02-28 18:54:04.717907
200*195*1*2020-02-28 18:57:59.751649*2020-02-28 18:57:59.751649
201*196*1*2020-03-03 14:37:40.106887*2020-03-03 14:37:40.106887
202*197*1*2020-03-03 14:46:58.799555*2020-03-03 14:46:58.799555
203*198*1*2020-03-03 14:47:18.852121*2020-03-03 14:47:18.852121
204*199*1*2020-03-03 14:47:37.116258*2020-03-03 14:47:37.116258
205*200*1*2020-03-04 12:45:54.47707*2020-03-04 12:45:54.47707
206*201*1*2020-03-04 12:46:12.958764*2020-03-04 12:46:12.958764
207*202*1*2020-03-04 20:52:58.521019*2020-03-04 20:52:58.521019
208*203*2*2020-03-04 20:53:29.334525*2020-03-04 20:53:29.334525
209*204*1*2020-03-04 20:53:44.959249*2020-03-04 20:53:44.959249
210*205*1*2020-03-08 17:53:52.971265*2020-03-08 17:53:52.971265
211*206*1*2020-03-08 18:04:55.546144*2020-03-08 18:04:55.546144
212*207*1*2020-03-08 18:08:37.222647*2020-03-08 18:08:37.222647
213*208*1*2020-03-09 00:23:46.892349*2020-03-09 00:23:46.892349
214*209*1*2020-03-09 00:24:07.558588*2020-03-09 00:24:07.558588
215*210*1*2020-03-09 00:26:39.370508*2020-03-09 00:26:39.370508
216*211*1*2020-03-09 00:37:47.185208*2020-03-09 00:37:47.185208
217*212*1*2020-03-09 00:51:08.281153*2020-03-09 00:51:08.281153
218*213*1*2020-03-09 01:14:07.787594*2020-03-09 01:14:07.787594
219*214*1*2020-03-09 01:14:35.812344*2020-03-09 01:14:35.812344
220*215*1*2020-03-09 01:21:19.257985*2020-03-09 01:21:19.257985
221*216*1*2020-03-09 01:21:40.17101*2020-03-09 01:21:40.17101
222*217*1*2020-03-09 01:22:06.284673*2020-03-09 01:22:06.284673
223*129*1*2020-03-10 12:37:45.816603*2020-03-10 12:37:45.816603
224*218*1*2020-04-06 17:25:07.637121*2020-04-06 17:25:07.637121
225*219*1*2020-04-06 17:25:21.324842*2020-04-06 17:25:21.324842
226*220*1*2020-04-06 17:25:35.256428*2020-04-06 17:25:35.256428
227*221*1*2020-04-06 17:40:27.588835*2020-04-06 17:40:27.588835
228*222*1*2020-04-07 22:08:01.605631*2020-04-07 22:08:01.605631
230*224*1*2020-04-07 22:22:54.016926*2020-04-07 22:22:54.016926
231*225*1*2020-04-07 22:23:18.644175*2020-04-07 22:23:18.644175
233*226*1*2020-04-07 22:28:38.802494*2020-04-07 22:28:38.802494
234*223*1*2020-04-07 22:29:16.916412*2020-04-07 22:29:16.916412
236*227*1*2020-04-07 22:35:58.874882*2020-04-07 22:35:58.874882
238*228*1*2020-04-07 22:42:00.842055*2020-04-07 22:42:00.842055
239*229*1*2020-04-07 22:42:14.949995*2020-04-07 22:42:14.949995
240*230*1*2020-04-07 22:42:55.086397*2020-04-07 22:42:55.086397
242*231*1*2020-04-07 22:46:29.797824*2020-04-07 22:46:29.797824
243*232*1*2020-04-07 22:51:15.446112*2020-04-07 22:51:15.446112
244*233*1*2020-04-07 23:44:25.96831*2020-04-07 23:44:25.96831
245*234*1*2020-04-07 23:44:40.86969*2020-04-07 23:44:40.86969
246*235*1*2020-04-07 23:58:22.82534*2020-04-07 23:58:22.82534
247*236*1*2020-04-08 00:03:32.1621*2020-04-08 00:03:32.1621
248*237*1*2020-04-08 00:06:46.014577*2020-04-08 00:06:46.014577
249*238*1*2020-04-08 00:09:44.197986*2020-04-08 00:09:44.197986
251*239*1*2020-04-08 00:19:14.647917*2020-04-08 00:19:14.647917
253*241*1*2020-04-08 00:26:27.008954*2020-04-08 00:26:27.008954
254*242*1*2020-04-08 00:29:37.47258*2020-04-08 00:29:37.47258
255*243*1*2020-04-08 00:36:03.289287*2020-04-08 00:36:03.289287
256*244*1*2020-04-08 00:39:12.646978*2020-04-08 00:39:12.646978
258*245*1*2020-04-08 00:39:57.418317*2020-04-08 00:39:57.418317
259*246*1*2020-04-08 00:40:07.050895*2020-04-08 00:40:07.050895
260*247*1*2020-04-08 00:46:31.71299*2020-04-08 00:46:31.71299
261*240*1*2020-04-08 00:50:42.891392*2020-04-08 00:50:42.891392
